timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
199890,103.32,5.002752,8.673198e+07,166,-66,-130,1300,15.902,117,-43,-73,-208,-350,3218,704,741,656,673
181642,193.14,5.505335,0,-1,1,0,1000,18.526,0,0,0,-58,-96,2032,121,112,114,120
200345,193.14,4.99139,181642,-1,1,-1,1000,18.509,0,0,0,-54,-85,2036,119,110,110,109
210441,173.304,4.751926,381987,-1,0,-1,1000,18.553,0,0,0,-76,-88,2039,121,112,108,112
190235,142.704,5.256656,592428,-1,0,-1,1000,18.526,-1,1,-1,-59,-94,2038,107,120,114,118
240635,142.704,4.155671,782663,-1,0,-1,1000,18.438,-1,0,-1,-62,-89,2040,111,117,116,113
170080,122.652,5.879586,1023298,-1,0,-1,1000,18.579,0,0,0,-62,-88,2041,119,118,119,124
190016,113.76,5.262715,1193378,-1,0,-1,1000,18.535,0,0,0,-63,-90,2042,122,117,117,124
199477,113.76,5.013109,1383394,-1,0,-1,1000,18.544,0,0,1,-61,-90,2042,132,116,107,128
200457,107.28,4.988601,1582871,-1,1,-1,1000,18.509,0,0,1,-59,-97,2033,129,111,111,128
230170,101.736,4.344615,1783328,-1,1,-1,1000,18.5,-1,0,0,-63,-86,2041,121,109,121,123
170612,101.736,5.861252,2013498,-1,0,-1,1000,18.526,0,0,0,-65,-94,2043,130,110,108,112
199787,100.62,5.005331,2184110,0,0,-1,1000,18.509,-1,0,0,-67,-93,2041,116,109,116,124
200770,100.26,4.980824,2383897,0,1,-1,1007,18.579,-1,0,0,-60,-91,2041,130,123,123,135
199688,100.44,5.007812,2584667,0,10,-1,1126,18.446,-2,4,-1,-137,-149,2063,332,349,369,381
230925,100.62,4.33041,2784355,0,33,-1,1212,18.269,-7,19,-1,-18,-36,2559,484,518,564,524
169800,100.62,5.889282,3015280,1,15,16,1242,18.278,-4,13,9,-38,-169,3142,529,601,614,563
200372,105.372,4.990717,3185080,4,4,22,1254,18.243,10,12,10,2,140,3361,562,668,602,568
199461,108.9,5.013511,3385452,23,16,25,1236,18.305,11,6,14,11,-14,2953,531,580,606,542
200684,111.6,4.982958,3584913,47,26,32,1208,18.305,34,22,17,-79,-115,2652,475,551,517,492
229899,114.948,4.349736,3785597,10,42,22,1194,18.331,11,26,14,-81,-54,2217,472,489,493,481
170729,114.948,5.857236,4015496,0,26,-1,1194,18.305,-6,11,-2,-103,-38,2178,442,484,532,477
199497,109.656,5.012607,4186225,-2,51,0,1185,18.358,-3,33,-1,-123,-43,2088,429,488,490,459
200677,106.704,4.983132,4385722,-54,1,42,1165,18.331,-49,-12,24,-164,-2,1803,393,400,500,417
199931,104.832,5.001726,4586399,-93,1,65,1160,18.349,-68,-4,35,-204,131,1757,365,409,470,426
230044,104.796,4.346994,4786330,-90,1,76,1156,18.393,-64,-5,41,-176,173,1644,373,392,467,408
169942,104.796,5.884361,5016374,-52,0,112,1150,18.376,-39,-3,64,-223,350,1574,372,372,438,411
200808,111.24,4.979881,5186316,-47,0,115,1173,18.349,-32,-2,66,-237,376,1709,439,413,456,470
201561,121.356,4.961277,5387124,-27,0,83,1201,18.243,-20,2,45,-246,469,2245,485,465,507,534
199675,131.004,5.008138,5588685,-3,1,58,1242,18.172,-6,-3,34,-230,658,2682,583,524,594,628
230354,143.1,4.341144,5788360,47,30,52,1271,18.154,37,27,26,-305,581,3513,596,656,631,650
169881,160.416,5.886473,6018714,1,13,40,1307,17.888,3,13,25,-316,489,3950,683,691,696,747
200431,182.088,4.989248,6188595,0,42,3,1326,17.915,-6,22,4,-313,324,4091,727,688,763,781
200614,197.892,4.984697,6389026,0,61,-1,1291,18.127,1,41,-6,-96,558,3179,604,690,745,647
199093,208.152,5.022778,6589640,0,75,-3,1282,18.101,-8,46,2,-287,366,2708,627,601,691,698
230387,215.46,4.340523,6788733,-3,1,-4,1284,18.243,-9,-4,1,-78,483,2383,632,609,698,694
170014,220.284,5.881869,7019120,-3,1,-12,1332,17.897,3,4,2,-455,704,3061,777,692,757,793
200507,224.496,4.987357,7189134,0,23,-4,1390,17.72,-9,5,0,-510,592,3618,862,812,937,874
199944,226.188,5.0014,7389641,0,1,-1,1521,17.303,9,7,-6,-635,524,6166,1145,1226,1087,1038
189892,227.592,5.266151,7589585,-1,1,0,1723,15.796,-16,-11,7,-969,958,9100,1532,1418,1553,1568
240736,227.592,4.153928,7779477,-3,1,0,1780,15.867,8,-18,10,-1273,949,7853,1798,1532,1634,1528
159770,229.392,6.258997,8020213,-3,1,-1,1872,14.901,-10,6,-10,-1201,923,7906,1566,1758,1994,1891
