timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
289910,234.072,3.449346,9.975794e+07,-4,0,7,1900,1.391,-4,4,4,-3854,-841,13491,1853,1795,1853,1872
322894,233.028,3.096992,1.000478e+08,-4,0,0,2000,1.365,2,2,-8,-3756,524,5272,1988,1900,1962,2045
200058,226.944,4.99855,1.003707e+08,-2,0,-3,2000,1.382,-14,3,-3,-4555,956,3564,1964,1880,1971,2044
200171,226.62,4.995729,1.005708e+08,-2,4,-1,2000,1.373,-9,-4,-5,-3787,1914,3850,1938,1812,1949,2037
277877,229.176,3.598715,1.00771e+08,0,4,-3,2000,1.382,14,-2,-3,-3360,1463,2470,1965,1839,1943,2039
122399,223.596,8.170001,1.010488e+08,0,1,-3,2000,1.382,-15,-9,-4,-3248,-177,-1571,1933,1786,1915,2042
200219,193.104,4.994531,1.011712e+08,0,1,-3,2000,1.382,-17,6,-3,-3817,-446,624,1949,1851,1930,2047
179659,158.4,5.5661,1.013715e+08,4,0,-3,2000,1.382,-3,0,0,-4086,1952,1076,1917,1804,1934,2046
200074,129.096,4.998151,1.015714e+08,18,-3,-3,2000,1.382,24,-15,-5,-4099,-1546,-4505,1961,1825,1916,2045
179754,106.704,5.563159,1.017715e+08,18,-3,-3,2000,1.373,31,-2,-2,-4504,-2875,-870,1999,1881,1926,2047
102382,87.552,9.767342,1.019513e+08,76,-3,-29,1924,1.373,79,-5,-14,-4651,-5339,-3393,1931,1839,1854,1944
89816,87.552,11.13387,1.020537e+08,89,-1,-51,1831,1.418,57,-2,-29,-3869,-13024,2258,1758,1636,1646,1773
191912,72.144,5.210722,1.021598e+08,92,-1,-47,1770,1.444,63,5,-25,-3571,-16466,-3842,1632,1581,1448,1654
98091,68.94,10.19462,1.030544e+08,157,-1,-4,1570,1.48,111,1,-11,-1823,-19102,10976,1237,1074,927,1452
200100,79.884,4.997501,1.031647e+08,149,-1,-4,1569,1.489,90,-5,-16,-1783,-17793,9437,1272,858,988,1564
200320,91.728,4.992013,1.033648e+08,114,-1,-3,1597,1.471,76,-2,-6,-1559,-15299,13661,1300,1038,980,1591
199946,101.376,5.00135,1.035651e+08,96,-7,-3,1603,1.453,68,-3,-13,-1732,-13303,11924,1387,999,879,1694
290372,108.144,3.443858,1.037651e+08,57,-1,-1,1601,1.48,42,-9,4,-2419,-11730,10241,1394,1143,946,1458
110121,112.5,9.08092,1.040555e+08,34,-5,-1,1552,1.506,25,-5,7,-3646,-9571,11246,1225,1103,970,1244
200392,112.824,4.990219,1.041656e+08,33,-25,-1,1512,1.515,25,-21,6,-3174,-8943,8223,1208,1004,923,1082
200185,111.888,4.995379,1.04366e+08,1,-92,-19,1392,1.542,12,-57,-13,-3558,-7722,6301,1013,808,529,892
200139,110.7,4.996527,1.045662e+08,0,-68,-29,1305,1.551,23,-21,-34,-4990,-6463,3441,1033,682,115,881
289855,128.484,3.450001,1.047663e+08,-3,-47,-23,1307,1.542,-1,-31,-17,-4734,-5732,3793,1015,676,115,837
118300,122.112,8.453085,1.050562e+08,-22,-12,17,1321,1.56,-32,-21,19,-5539,-3304,3253,871,534,426,835
191776,141.588,5.214417,1.051745e+08,-25,-7,16,1326,1.569,-32,-12,26,-4717,-2173,3107,794,587,589,736
200212,161.388,4.994706,1.053662e+08,-3,-1,0,1309,1.577,0,1,11,-4865,-804,2710,725,639,539,665
