timens,GPSnumSat,GPScoord0,GPScoord1,GPSaltitude,GPSspeedms,GPSgroundcourse,loopIteration,axisP0,axisP1,axisP2,axisI0,axisI1,axisI2,axisD0,axisD1,axisD2,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,rssi,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3,flightModeFlagsflags,stateFlagsflags,failsafePhaseflags,rxSignalReceived,rxFlightChannelsValid,acceleration_G
0D00:02:42.503501000,17,1.329191,103.7861,30,13.17,18.8,88392,0,5,-42,7,12,-48,-2,6,0,14,0,-55,1406,1.595,1023,10,-5,-15,465,-7553,9405,670,984,1121,581,,,,1,1,0.257787
0D00:02:42.593276000,17,1.329211,103.7861,29,13.17,18.8,88568,0,0,-16,8,12,-56,-8,-2,0,1,10,-41,1384,1.622,1023,0,7,-17,527,-6530,8787,644,941,987,606,,,,1,1,0.1205236
0D00:02:42.703504000,18,1.329211,103.7861,29,11.28,31.8,88784,5,0,-3,10,7,-56,9,5,0,-8,14,-22,1370,1.622,1023,-11,10,-11,386,-5693,8414,596,816,996,656,,,,1,1,0.1267453
0D00:02:42.711655000,18,1.329225,103.7861,29,11.28,31.8,88800,-1,-4,19,10,7,-56,-4,-5,0,-18,14,-20,1370,1.622,1023,-10,14,-18,388,-5639,8300,662,844,857,701,,,,1,1,0.009372404
0D00:02:42.912054000,18,1.329231,103.7861,28,9.73,50.8,89192,0,-2,26,8,0,-40,6,-2,0,-45,15,-3,1355,1.622,1023,-29,12,-11,214,-4380,6635,658,742,791,751,,,,1,1,0.1987648
0D00:02:43.112059000,18,1.329229,103.7861,26,6.5,80.6,89584,-1,0,19,2,0,-24,1,3,0,-33,12,0,1349,1.622,1023,-19,8,-7,-133,-3977,5658,712,725,745,710,,,,1,1,0.1325212
0D00:02:43.312145000,18,1.329221,103.7861,25,5.01,95.3,89976,0,1,13,0,-1,-13,-1,0,0,-37,0,0,1366,1.631,1023,-23,-2,-5,-869,-2956,4917,766,761,756,748,,,,1,1,0.1021846
0D00:02:43.593844000,18,1.329212,103.7861,25,5.31,139.3,90528,4,0,1,0,1,-2,1,1,0,-6,32,14,1531,1.595,1023,-9,20,7,-1274,-2317,9255,1084,1073,1119,1096,,,,1,1,0.1524793
0D00:02:43.712339000,18,1.329207,103.7861,25,5.11,184.7,90760,0,-2,2,2,2,0,-1,0,0,-3,35,12,1571,1.577,1023,-3,25,6,-1149,-1995,10405,1180,1165,1171,1182,,,,1,1,0.0617237
0D00:02:43.904245000,17,1.329207,103.7861,25,5.8,228,91136,0,0,-2,1,0,2,0,0,0,-3,1,3,1630,1.551,1023,-3,1,2,-973,-1660,10789,1289,1288,1300,1301,,,,1,1,0.1134612
0D00:02:43.912358000,17,1.329206,103.7861,25,5.8,228,91152,0,-1,-5,1,0,2,-1,0,0,-3,1,1,1630,1.56,1023,-2,2,2,-1059,-1629,10804,1281,1308,1294,1294,,,,1,1,0.004796677
0D00:02:44.104124000,18,1.329206,103.7861,25,6.75,258.2,91528,1,1,7,3,2,2,6,2,0,-3,-7,-1,1700,1.524,1023,-3,-6,-4,-1784,-989,11450,1446,1375,1452,1473,,,,1,1,0.1319491
0D00:02:44.124431000,18,1.32921,103.7861,25,6.75,258.2,91568,-3,-1,1,3,2,2,0,-3,0,-3,-7,-1,1707,1.515,1023,2,-3,-1,-1847,-1075,11449,1456,1448,1433,1467,,,,1,1,0.01397271
0D00:02:44.324981000,18,1.329219,103.7861,25,7.18,285.1,91960,0,3,3,4,4,2,0,1,0,-3,-11,-1,1761,1.515,1023,-1,-13,-2,-3243,-581,11157,1587,1517,1578,1561,,,,1,1,0.1467838
0D00:02:44.602650000,18,1.329231,103.7861,25,7.86,304.9,92504,0,1,-4,6,5,4,0,0,0,0,-3,-1,1843,1.471,1023,1,-4,2,-3990,-269,7379,1730,1697,1756,1726,,,,1,1,0.2224749
0D00:02:44.725041000,18,1.329244,103.7861,25,7.75,318.5,92744,0,0,-1,7,5,5,1,1,0,0,-1,-1,1918,1.453,1023,-2,-1,1,-4029,-57,11600,1885,1832,1911,1892,,,,1,1,0.09669014
0D00:02:44.925192000,18,1.329258,103.7861,26,8.27,337.7,93136,0,0,3,5,4,11,0,0,0,0,0,-3,2000,1.409,1023,-1,1,-10,-4551,-1388,3860,2025,1937,1984,2038,,,,1,1,0.1687308
0D00:02:45.125397000,18,1.329274,103.7861,26,8.84,346.6,93528,0,0,0,7,4,11,0,-1,0,1,0,-3,2000,1.418,1023,-5,2,-3,-4388,-1368,5386,2015,1937,1994,2038,,,,1,1,0.180409
0D00:02:45.325672000,18,1.32929,103.7861,26,9.09,354.9,93920,0,0,1,8,0,13,0,0,0,1,0,-4,2000,1.427,1023,1,5,-6,-3837,-737,-4514,2001,1934,1972,2047,,,,1,1,0.1855759
0D00:02:45.607406000,18,1.329306,103.7861,26,8.63,4.2,94472,0,0,-1,10,0,14,-2,0,0,1,0,-5,2000,1.427,1023,6,-2,1,-4118,-163,-1860,2006,1952,1979,2047,,,,1,1,0.2478455
0D00:02:45.725996000,18,1.32932,103.7861,25,8.78,18.4,94704,0,0,2,11,-4,16,0,3,0,1,0,-5,2000,1.436,1023,4,0,-8,-4187,-690,9185,1986,1895,1947,2047,,,,1,1,0.1061387
0D00:02:45.913781000,18,1.329329,103.7861,24,8.2,26.8,95072,-2,1,0,9,-3,14,0,1,0,3,0,-5,2000,1.427,1023,17,-11,-3,-4118,-1327,-2867,2008,1937,1975,2047,,,,1,1,0.1569661
